states,Area,HH,Women15-49,Men15-54,Female6andaboveattendedschool,hhwithelecpercent,hhsalt,hhanyusualmemebercoveredwithhealthinsurance,Children5attendedpreprimary2019-2020,women15-49literate,women15-49usedinternet,TFR,NMR,IMR,U5MR,motherprotectedneonataltetnus,folicacid100days,folicacid180days,postnatalcare,childrembornhometakenhealthcarefacility,Childrenrecievedpostnatalcare2daysofbirth,institutionalbirths,fullvaccinated,12-23monthsvaccinecardfullvaccinated,BCG,3polio,DPT,1MCV,2MCV,3doserotavirus,hepb,vita,vaccinepublic,vaccineprivate,vaccinetotal
Andaman & Nicobar Islands,Total,2624,2397,367,83.5,97.6,99.7,1.6,42.6,86,34.8,1.3,-12.3,-20.6,-24.5,90.8,80.9,52.1,88.9,0,91,99,77.8,96,98.2,80.9,92.6,82.1,31.9,0.3,85.4,86,94.9,3.2,98.1
Andhra Pradesh,Total,11346,10975,1558,65.6,99.5,83.1,70.2,9.9,68.6,21,1.7,19.9,30.3,35.2,92.8,70.3,41.1,90.7,17.2,92.3,96.5,73,88,94.6,75,88.4,87.1,30,75.5,85.3,80.3,94.2,4.3,98.5
Arunachal Pradesh,Total,18268,19765,2881,71.2,94.8,99.2,29.3,5.9,73.8,52.9,1.8,7.7,12.9,18.8,76.9,23.8,8.6,56.4,2.3,56.5,79.2,64.9,76.4,87.9,69,77.7,80.7,27.4,32,73,69.7,97.6,0.7,98.3
Assam,Total,30119,34979,4973,78.2,92.6,98.8,60,4.4,77.2,28.2,1.9,22.5,31.9,39.1,94.5,47.5,18.5,65.3,2,69.9,84.1,66.4,71.8,92.5,73.4,81.7,82.8,19.4,45.4,75.1,58.2,95.6,2.3,97.9
Bihar,Total,35834,42483,4897,61.1,96.3,93.3,14.6,11.5,57.8,20.6,3,34.5,46.8,56.4,89.5,18,9.3,57.3,2.9,59.3,76.2,71,82.7,95.5,75.5,85,85.7,29.9,3.4,82.3,56,96.6,2.2,98.8
Chandigarh,Total,761,746,104,86.7,99.9,96.8,32.2,6.3,83,75.2,1.4,0,0,0,93.2,73.9,64.5,90.6,0,89.3,96.9,-80.9,-82.8,-96.8,-80.9,-87.9,-87.9,-15,-84.9,-84.9,72.6,92.9,7.1,100
Chhattisgarh,Total,24550,28468,4174,69.3,98.8,98.5,71.4,4.6,74.6,26.7,1.8,32.4,44.2,50.4,91.9,44.9,26.3,84,9.8,81.7,85.7,79.7,84.8,96.4,84.2,87.5,90.2,30.4,50.4,86,84.5,96.6,3.1,99.7
Dadra and Nagar Haveli & Daman and Diu,Total,2676,2713,427,74.4,99.7,89.1,52,3.7,77.3,36.7,1.8,21.4,31.8,37,84.6,59.8,36.2,91.6,0,91,96.5,94.9,93.4,98.1,96.1,97.2,96.2,44.2,3.7,93.1,86.2,97.3,2.7,100
Goa,Total,1856,2030,313,89,100,97.6,66,19,93,73.7,1.3,-5.6,-5.6,-10.6,96.5,87.5,65,95.4,0,96.7,99.7,81.9,91,97.9,88.4,90.8,92.9,21.7,6.3,92.8,91.9,92.7,7.3,100
Gujarat,Total,29368,33343,5351,72.9,97.6,95.6,39,6.9,76.5,30.8,1.9,21.8,31.2,37.6,89.1,60,43.2,89.7,6.9,88.7,94.3,76.3,85,94.7,79.6,86.1,86.8,27.3,2.2,84.9,85.6,92.1,7.6,99.7
Haryana,Total,18229,21909,3224,73.8,99.6,96.1,25.7,7.6,81.7,48.4,1.9,21.6,33.3,38.7,90.7,51.2,32,91.3,3.8,91,94.9,76.9,81.1,95,80.6,88.5,89.4,32,79.8,87.4,64.9,96.9,2.4,99.3
Himachal Pradesh,Total,10698,10368,1477,81,99.5,99.1,34.5,4.6,91.7,49.7,1.7,20.5,25.6,28.9,90,67.2,43,86.3,7.6,86,88.2,89.3,96.4,98.2,90.1,96.1,95.9,42.4,87.9,96.3,77.3,97.5,1.8,99.3
Jammu & Kashmir,Total,18086,23037,3087,70.1,99.3,98.1,12.7,1.6,77.3,43.3,1.4,9.8,16.3,18.5,91.9,29.8,15.9,84.2,3.3,81.5,92.4,86.2,96.5,95.1,87.6,92.8,91.7,33.1,5.3,91.4,82.3,99.1,0.4,99.5
Jharkhand,Total,22863,26495,3414,64.5,94.3,97.7,50.3,9,65,31.4,2.3,28.2,37.9,45.4,90.8,28.2,14.9,69.1,3.4,68.7,75.8,73.9,79.2,95,76.8,85.6,86.7,32.3,74.6,84.4,70.9,96.5,2.9,99.4
Karnataka,Total,26574,30455,4516,73,99.1,92.8,28.1,17.3,76.7,35,1.7,15.8,25.4,29.5,93.6,44.7,26.7,87.4,12.3,85.5,97,84.1,88.3,97.2,87.6,92.1,91.2,33.4,5.9,88.8,86.2,91.7,7.9,99.6
Kerala,Total,12330,10969,1473,95.5,99.6,99.3,51.5,29,98.3,61.1,1.8,3.4,4.4,5.2,95.2,80,67,93.3,0,91.2,99.8,77.8,85.2,97.6,84.1,85.2,88.3,15.5,9.5,83,84.1,87.3,12.3,99.6
Ladakh,Total,1818,2355,307,68,99.5,98.8,14.9,0.7,76.8,56.4,1.3,11.4,20,29.5,94.2,14.3,7.3,79.6,0,76.7,95.1,88.2,100,99.1,88.2,95,92.9,43.2,10.6,94.1,87.1,100,0,100
Lakshadweep,Total,921,1234,135,93,99.8,96.7,60.1,32,96.5,56.4,1.4,0,0,0,99.4,80.1,61.7,92.6,0,93.7,99.6,-86.1,-91.7,-94.2,-86.1,-91,-91,-11.7,-12.7,-88.9,44.8,100,0,100
Madhya Pradesh,Total,43552,48410,7025,67.5,98.4,95.3,38.1,10.5,68.9,26.9,2,29,41.3,49.2,95,51.4,31.8,83.5,9.4,83.9,90.7,77.1,83.3,95.4,81.4,87.4,88,35.2,70.9,85,78.1,98.4,1.2,99.6
Maharastra,Total,31643,33755,5497,79.6,97.8,96.2,20,28.4,84.6,38,1.7,16.5,23.2,28,90.1,48.2,30.9,85.4,6.8,89.1,94.7,73.5,81.7,93.8,79,83.4,84.7,26.3,8.2,75.6,72.2,89.5,10,99.5
Manipur,Total,7881,8042,1162,84,98.1,99.3,14.2,25,87.6,44.8,2.2,17.2,25,30,88.9,52.3,30.3,73.4,0.5,70.3,79.9,68.8,75.7,95.4,75.6,81.4,76.6,15.3,6.8,80,44.9,92.3,5.6,97.9
Meghalaya,Total,10148,13089,1824,85.9,91.9,90.6,63.5,31.2,88.2,34.7,2.9,19.8,32.3,40,82.1,43.1,20.6,43.9,1.6,44.9,58.1,63.8,80,89.3,68.5,73.1,72.5,14.2,4.1,65.7,61,93.6,3.5,97.1
Mizoram,Total,7257,7279,1105,93.2,98.2,99,46.4,5,94.4,67.6,1.9,11.4,21.3,24,80,61.9,10.5,68,2,36.9,85.8,72.5,83.7,83.4,76.2,80.7,80.9,25.8,7.2,76.4,65.7,96.9,2.4,99.3
Nagaland,Total,10112,9694,1456,85.2,98.6,99,20.5,6.1,85.8,49.9,1.7,10.2,23.4,33,81.3,10.2,4.1,43.9,0.6,41.8,45.7,57.9,71.3,85.5,65.4,71.5,73.8,20.5,6.5,66.4,45.6,93.2,4.1,97.3
NCT of Delhi,Total,9486,11159,1700,83.8,99.9,96.8,25,15.8,85,63.8,1.6,17.5,24.5,30.6,93.4,69.1,49,85.4,4.5,86.7,91.8,76,79.4,96.8,80.2,85,90.1,37.2,26.6,81.9,52.9,88.7,11.1,99.8
Odisha,Total,26467,27971,3865,71.5,97,98,47.9,10.8,71.9,24.9,1.8,27,36.3,41.1,95.2,60.8,34.4,88.4,10.5,88.1,92.2,90.5,90.7,97.3,91.7,94.7,95.9,45.3,88.1,94.4,87.1,98.1,1.4,99.5
Puducherry,Total,3520,3669,534,84.6,99.9,93.4,30.1,23.6,91.1,61.9,1.5,2.3,2.9,3.9,91.9,84.1,64.9,93.1,0,95.7,99.6,82,89.7,96.4,87.3,92,95.6,51.6,8,88.8,81.2,97.1,2.6,99.7
Punjab,Total,18824,21771,3296,77.2,99.7,94.8,25.2,7.8,81.4,54.8,1.6,21.8,28,32.7,89.7,55.4,40.5,86.2,1.3,84.7,94.3,76.2,85.2,95.3,79.7,88.5,88.1,27.1,65.9,85.4,69.9,90.6,8,98.6
Rajasthan,Total,31817,42990,6353,63.5,98.1,94.2,87.8,8.9,66.4,36.9,2,20.2,30.3,37.6,93.4,33.9,14.4,85.3,1.3,86.9,94.9,80.4,85.3,95.6,84.6,89.3,91.2,26.8,61.6,88.2,64.5,98,1.6,99.6
Sikkim,Total,3516,3271,469,83.7,99.3,98.3,25.7,41.2,88.9,76.7,1.1,5,11.2,11.2,92,54.7,31.5,69.3,0,66.2,94.7,80.6,87.6,96.6,89,91.4,90.5,29,0,89.1,87.5,100,0,100
Tamil Nadu,Total,27929,25650,3372,80.4,99.3,92,66.5,25.2,85.9,46.9,1.8,12.7,18.6,22.3,89.7,82.5,63.1,93.2,0,94.9,99.6,89.2,90.4,97.6,91.5,94.8,95.8,44.7,66.4,92.3,68.2,89.8,10.1,99.9
Telangana,Total,27351,27518,3863,60.9,99.6,95.8,60.8,15.3,66.6,26.5,1.8,16.8,26.4,29.4,89.6,57.9,34.4,87.6,15.6,90,97,79.1,87.4,93.5,81.6,89.2,90.6,36.4,5.3,86.4,72.4,94.1,4.5,98.6
Tripura,Total,7209,7314,990,81.8,98.2,99.5,33,24.2,80.6,22.9,1.7,22.9,37.6,43.3,94.9,26.7,8.9,71.9,3.6,72.8,89.2,69.5,77.1,94.7,73.4,85.9,86.3,21.9,59.6,82.5,70.4,97.3,1.4,98.7
Uttar Pradesh,Total,70710,93124,12043,67.4,91,92.3,15.9,9.3,68.8,30.6,2.4,35.7,50.4,59.8,92.1,22.3,9.7,72,2.4,70.2,83.4,69.6,78.4,93.2,74.3,80.8,83.3,30.2,49.1,78.3,73.9,94.4,2.2,96.6
Uttarakhand,Total,12169,13280,1586,75.2,99.6,93.2,62.5,33.2,81.6,45.1,1.9,32.4,39.1,45.6,93.6,46.6,25,78,3.1,78.9,83.2,80.8,88.6,95.2,84,89.7,90.6,35.8,32.3,86.6,53.7,95.3,3,98.3
West Bengal,Total,18187,21408,3021,76.8,97.5,94.5,29.3,20.1,76.1,25.5,1.6,15.5,22,25.4,94.6,62.5,30.8,68,8.8,76.8,91.7,87.8,90.8,98.6,90.8,95,94.4,44.4,1.8,92,68.4,96.3,2.5,98.8
